"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_01635",26.8746143427146,-0.424475074010314,0.478581595209406,-0.886943999224589,0.375109051375579,0.588500169887707
"LFTS_01636",980.218971361674,0.29553069815974,0.270852939173562,1.09111128371535,0.275223918343373,0.48301952209816
"LFTS_01637",354.806286535159,0.581365676389267,0.214089167103664,2.71553056258921,0.00661696686638561,0.0306878400575563
"LFTS_01638",449.547746488638,0.488861495716756,0.185764798507652,2.63161535255357,0.00849800134237742,0.0378030439461997
"LFTS_01639",1039.24857499954,-0.329169885307254,0.199956641153421,-1.64620631457142,0.0997212896537168,0.241689036993245
"LFTS_01640",438.745539215694,0.0351900723391758,0.214894370509459,0.163755207992416,0.869923854416782,0.929228259602816
"LFTS_01641",1074.89855644151,0.636221454207221,0.214489312168611,2.96621518235409,0.00301489466433308,0.0157132221912275
"LFTS_01642",493.024156653597,-0.751504095381389,0.183892230650702,-4.08665495394881,4.37637233239005e-05,0.000441224423675391
"LFTS_01643",113.425193268672,0.693742289562059,0.288525638674838,2.40443897030548,0.0161973104890325,0.0620644607523677
"LFTS_01644",264.995484218049,-0.00321140564591396,0.230803599995444,-0.0139140188713579,0.988898577370737,0.99214842668149
"LFTS_01645",1740.72806869507,-1.12966397302743,0.227795606598385,-4.95911220543899,7.08160583915899e-07,1.06224087587385e-05
"LFTS_01646",358.678025010031,0.135771268010107,0.189885842611144,0.715015222531068,0.474599637095719,0.680188351682409
"LFTS_01647",276.864203313594,-0.411732720056421,0.245318344865809,-1.67836090807494,0.0932766642378892,0.230151047166708
"LFTS_01648",86.8621497098319,-1.1601191469222,0.363358721948398,-3.19276537714966,0.00140917393131594,0.0084982930397265
"LFTS_01649",612.515635123201,-0.597596157755938,0.187627296759757,-3.18501714876336,0.00144745430546529,0.00864256696952578
"LFTS_01650",544.166303311187,-0.216229655922936,0.172764078433925,-1.25158920698688,0.210719589409118,0.407203605613849
"LFTS_01651",682.326944242516,-0.0643680470044237,0.165075163482738,-0.38993174773475,0.696587017103643,0.832194032875877
"LFTS_01652",145.759075585506,-0.0352581589194895,0.269781249452012,-0.13069165848667,0.896019231308527,0.945200389802306
"LFTS_01653",464.674089447855,-0.443598608243894,0.222660501019402,-1.99226448432918,0.0463420462996441,0.135715992734672
"LFTS_01654",325.126561906059,-0.414863499032897,0.219421273393867,-1.89071685081422,0.0586621518149587,0.163987378937271
"LFTS_01655",231.42673185547,-1.16220961565117,0.222225367377034,-5.22986925106227,1.69629967539304e-07,2.98064085819062e-06
"LFTS_01656",223.00662200107,-1.00210418573561,0.247974958986078,-4.04115072680329,5.31895562977652e-05,0.000519309549415045
"LFTS_01657",822.966963627715,-0.181245741115509,0.171275216031976,-1.05821347252992,0.289958130445852,0.499857744146318
"LFTS_01658",1184.23779308624,-0.300829432739951,0.166836101364179,-1.80314350599265,0.0713656800847517,0.189674014013206
"LFTS_01659",51.520376915493,1.17388003569615,0.390259370272294,3.00794836745907,0.00263017820239135,0.014098182282251
"LFTS_01660",942.056848538388,0.306817655345998,0.175574216292104,1.74750975300122,0.0805489546219436,0.207053739153586
"LFTS_01661",979.030703628782,0.143806345994055,0.185732241381254,0.774267003534743,0.438772912211545,0.650621678143701
"LFTS_01662",326.333467320415,-2.52531685770311,0.328673280565994,-7.68336523539234,1.54962969801362e-14,6.14853073727985e-13
"LFTS_01663",474.796565524984,-1.53936864287994,0.219684413131932,-7.00718189758627,2.43166049903181e-12,7.66908311233108e-11
"LFTS_01664",373.041962016701,0.140127536634068,0.21609789104634,0.648444720841906,0.516697353540016,0.71094503819808
"LFTS_01665",329.377438893634,0.0442207449003243,0.207496300218909,0.213115823528763,0.83123662275398,0.906407580112115
"LFTS_01666",235.165274427674,-0.150860002516157,0.210619793246746,-0.716266976577177,0.473826513746928,0.680054389625112
"LFTS_01667",157.346420559996,-0.360500973535993,0.244469250558212,-1.47462706541963,0.140312834245172,0.309291731400648
"LFTS_01668",298.647082618449,0.538047295148106,0.223284430345367,2.4096946406692,0.0159658771907161,0.0613688404518151
"LFTS_01669",235.19797870099,0.332134439442132,0.236477092703437,1.40450999141239,0.160167038540453,0.337049542180937
"LFTS_01670",372.460903695158,0.278845536457701,0.186058084118096,1.49870153602522,0.133951078071657,0.299915859201405
"LFTS_01671",2104.68078461053,0.623423873344125,0.14818963537949,4.20693304054385,2.58859799387899e-05,0.000276867437606187
"LFTS_01672",589.533786163005,0.528972194796845,0.18731457404566,2.82397777904833,0.00474316731842672,0.0230596672002564
"LFTS_01673",307.969891225064,0.596254748085311,0.197049739643529,3.02590984978697,0.00247886198518265,0.0135210653737235
"LFTS_01674",1306.55650786155,0.47398415379487,0.171875866841408,2.75771207735767,0.00582074420193214,0.0275896545987535
"LFTS_01675",430.16732672246,0.209994296798154,0.19313905469766,1.08726998341624,0.2769175100986,0.48481836349015
"LFTS_01676",7102.88850693693,0.13399410774336,0.187988123247583,0.712779644950694,0.475982123184772,0.681161153597754
"LFTS_01677",72.2948778201853,-0.696863021442378,0.319549692880445,-2.18076573681171,0.0292007480373536,0.0961631059864656
"LFTS_01678",556.477023125374,-0.655757385439666,0.178038924946441,-3.68322480961361,0.000230301884591518,0.00181004037091097
"LFTS_01679",965.706741985602,-0.290546743103207,0.187007451193961,-1.553663991719,0.120264586479916,0.27805534092161
"LFTS_01680",226.118572980767,-0.206300331134844,0.244727242728674,-0.842980654031911,0.399239263578459,0.613480332104038
"LFTS_01681",468.927114773757,-0.180376375443843,0.176631686266478,-1.02120055159138,0.307159431074819,0.52111186237521
"LFTS_01682",424.9359096839,0.130964765658319,0.192407920570436,0.680662029245184,0.496085367751046,0.694575984443695
"LFTS_01683",173.166111787687,0.899904371524726,0.272145965019935,3.30669746089679,0.000944027892853822,0.00601634356585597
"LFTS_01684",614.650333692562,0.0271332758148351,0.171700385560097,0.158026877611979,0.87443561954455,0.931373146977509
"LFTS_01685",444.857255268839,-0.316994769903137,0.180982145032722,-1.75152510125142,0.079855501405242,0.205701082153817
"LFTS_01686",1562.5776549486,-0.206455550775704,0.16047953647508,-1.28649144501837,0.198271602589602,0.393662746061679
"LFTS_01687",213.214381975512,0.19978519155172,0.225514303749166,0.885909178399328,0.375666469797449,0.588999053984528
